23,아태,ATAEDIE,"<font color=""#00CED1"">SuperDiamond</font>",20033,"<font color=""#000000"">52.44%</font>",2151,"<font color=""#000000"">49.02%</font>",12776,BLANKA,"<font color=""#CC9933"">Raknos-Inn</font>","<font color=""#000000"">2018-10-16</font>",●
24,킥밤,KickBomb,"<font color=""#00CED1"">SuperDiamond</font>",20028,"<font color=""#000000"">50.38%</font>",2086,"<font color=""#000000"">47.92%</font>",3940,CHUN-LI,"<font color=""#CC9933"">SilverTown</font>","<font color=""#000000"">2018-10-15</font>",●
25,히즈미,esw310,"<font color=""#00CED1"">Diamond</font>",19820,"<font color=""#000000"">46.72%</font>",6012,"<font color=""#000000"">47.79%</font>",8887,URIEN,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-16</font>",●
26,자드,KOR_ZARD,"<font color=""#00CED1"">Diamond</font>",19801,"<font color=""#0000FF"">67.76%</font>",580,"<font color=""#CC2EFA"">74.27%</font>",3288,R.MIKA,"<font color=""#CC9933"">SPIRITZERO</font>","<font color=""#000000"">2018-10-16</font>",●
27,레드플라워,REDFLOWER,"<font color=""#00CED1"">Diamond</font>",19604,"<font color=""#000000"">44.36%</font>",19585,"<font color=""#000000"">44.26%</font>",20831,KARIN,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
28,알마,almaloss,"<font color=""#00CED1"">Diamond</font>",19123,"<font color=""#000000"">52.93%</font>",2322,"<font color=""#000000"">47.11%</font>",7820,G,"<font color=""#CC9933"">Raknos-Inn</font>","<font color=""#000000"">2018-10-15</font>","<font color=""#3399FF"">●</font>"
29,빨간탈포스,Rmaskforce_PS4,"<font color=""#00CED1"">Diamond</font>",18859,"<font color=""#000000"">51.98%</font>",1897,"<font color=""#000000"">52.22%</font>",2338,RASHID,"<font color=""#CC9933"">MalpAnga</font>","<font color=""#000000"">2018-10-14</font>","<font color=""#3399FF"">●</font>"
30,루팡,SalaryLupin,"<font color=""#00CED1"">Diamond</font>",17945,"<font color=""#000000"">45.63%</font>",4425,"<font color=""#000000"">45.74%</font>",6968,LAURA,"<font color=""#CC9933"">NOKZODAN</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
31,욘두,YunduUdonta,"<font color=""#00CED1"">Diamond</font>",17827,"<font color=""#000000"">52.09%</font>",2853,"<font color=""#000000"">52.28%</font>",3619,URIEN,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-16</font>",●
32,카톡,KaKaoTalk,"<font color=""#00CED1"">Diamond</font>",16905,"<font color=""#000000"">53.30%</font>",1743,"<font color=""#000000"">56.06%</font>",3416,CLAW,"<font color=""#CC9933"">Only_Claw</font>","<font color=""#000000"">2018-10-15</font>",●
33,잎,Cittadi,"<font color=""#00CED1"">Diamond</font>",16000,"<font color=""#000000"">52.77%</font>",1533,"<font color=""#000000"">44.19%</font>",6388,DICTATOR,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-15</font>",●
34,쓰랄,Thrall_77,"<font color=""#00CED1"">Diamond</font>",15788,"<font color=""#000000"">45.17%</font>",26921,"<font color=""#000000"">44.25%</font>",29459,NASH,"<font color=""#CC9933"">Shin_Syoryuken</font>","<font color=""#000000"">2018-10-16</font>",●
35,압도,Dominant_PS4,"<font color=""#00CED1"">Diamond</font>",15044,"<font color=""#0000FF"">65.28%</font>",625,"<font color=""#12B512"">61.47%</font>",3218,SAGAT,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
36,에드랑꼬,JaebumPark,"<font color=""#00CED1"">Diamond</font>",14417,"<font color=""#12B512"">63.82%</font>",633,"<font color=""#000000"">47.9%</font>",3065,ED,"<font color=""#CC9933"">Psycho-Snatcher</font>","<font color=""#000000"">2018-10-16</font>",●
37,티버레이크,Tiberlake,"<font color=""#00CED1"">Diamond</font>",14075,"<font color=""#000000"">46.62%</font>",2711,"<font color=""#000000"">49.76%</font>",8434,BOXER,"<font color=""#CC9933"">Sakura</font>","<font color=""#000000"">2018-10-13</font>",●
38,민님,extremin,"<font color=""#00CED1"">Diamond</font>",14060,"<font color=""#000000"">50.56%</font>",10559,"<font color=""#000000"">52.95%</font>",21735,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>",●
39,벨거,Baninrok,"<font color=""#00CED1"">Diamond</font>",14039,"<font color=""#000000"">55.88%</font>",1378,"<font color=""#000000"">51.0%</font>",3239,CODY,"<font color=""#CC9933"">-Metro_City-</font>","<font color=""#000000"">2018-10-16</font>",●
40,코두리,DBsang-steam,"<font color=""#696969"">UltraPlatinum</font>",13897,"<font color=""#000000"">52.85%</font>",2212,"<font color=""#000000"">42.42%</font>",4734,FALKE,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-09-27</font>",●
41,,GuardJung,"<font color=""#696969"">UltraPlatinum</font>",13322,"<font color=""#000000"">48.83%</font>",6008,"<font color=""#000000"">44.63%</font>",8138,NASH,"<font color=""#CC9933"">Mental_Hospital</font>","<font color=""#000000"">2018-10-15</font>",●
42,,kor_bbom,"<font color=""#696969"">UltraPlatinum</font>",12772,"<font color=""#000000"">49.19%</font>",7927,"<font color=""#000000"">48.18%</font>",18512,RYU,"<font color=""#CC9933"">Ryu-Nation</font>","<font color=""#000000"">2018-10-17</font>",●
43,행인,Hang-In,"<font color=""#696969"">UltraPlatinum</font>",12541,"<font color=""#000000"">40.51%</font>",20695,"<font color=""#000000"">40.89%</font>",21753,RYU,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>",●
44,마사,isamix,"<font color=""#696969"">UltraPlatinum</font>",12327,"<font color=""#000000"">53.99%</font>",1906,"<font color=""#000000"">56.25%</font>",2992,KEN,"<font color=""#CC9933"">Sakura</font>","<font color=""#000000"">2018-10-13</font>","<font color=""#3399FF"">●</font>"
45,,EXTRAUSER,"<font color=""#696969"">SuperPlatinum</font>",10615,"<font color=""#000000"">53.64%</font>",1579,"<font color=""#000000"">33.71%</font>",6019,RYU,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
46,진수가,artheaven,"<font color=""#696969"">SuperPlatinum</font>",10537,"<font color=""#000000"">52.46%</font>",7251,"<font color=""#000000"">52.07%</font>",9243,KEN,"<font color=""#CC9933"">TeamDPS</font>","<font color=""#000000"">2018-10-17</font>",●
47,머쓸빠워,notpsycho,"<font color=""#696969"">SuperPlatinum</font>",10498,"<font color=""#12B512"">61.24%</font>",614,"<font color=""#000000"">48.2%</font>",3838,ZANGIEF,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
48,젤리샵,JellyShoP,"<font color=""#696969"">SuperPlatinum</font>",10352,"<font color=""#000000"">49.74%</font>",2272,"<font color=""#000000"">39.32%</font>",8396,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-13</font>",●
49,악철,akchul,"<font color=""#696969"">SuperPlatinum</font>",10035,"<font color=""#000000"">53.18%</font>",1463,"<font color=""#000000"">52.71%</font>",1848,URIEN,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-07</font>","<font color=""#3399FF"">●</font>"
50,,Panzerdivision,"<font color=""#696969"">SuperPlatinum</font>",10007,"<font color=""#000000"">56.48%</font>",733,"<font color=""#000000"">49.9%</font>",9567,BIRDIE,"<font color=""#CC9933"">Haki-Kyaku</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
51,테시스,Tecith,"<font color=""#696969"">Platinum</font>",9597,"<font color=""#000000"">50.40%</font>",2994,"<font color=""#000000"">44.44%</font>",5425,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-14</font>",●
52,후비고,hubigo,"<font color=""#696969"">Platinum</font>",9404,"<font color=""#000000"">54.91%</font>",1293,"<font color=""#000000"">51.29%</font>",2484,GUILE,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-09-23</font>","<font color=""#3399FF"">●</font>"
53,큐폿,q-port,"<font color=""#696969"">Platinum</font>",9217,"<font color=""#000000"">53.59%</font>",1491,"<font color=""#000000"">50.51%</font>",2847,NECALLI,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-09-27</font>",●
54,빈토,SFV_Binto,"<font color=""#696969"">Platinum</font>",7905,"<font color=""#000000"">44.84%</font>",4556,"<font color=""#000000"">41.69%</font>",6404,NASH,"<font color=""#CC9933"">Shin_Syoryuken</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
55,사쿨,Sakul_Sakul,"<font color=""#696969"">Platinum</font>",7592,"<font color=""#000000"">49.24%</font>",2500,"<font color=""#000000"">45.71%</font>",7687,CAMMY,"<font color=""#CC9933"">GOD_NL</font>","<font color=""#000000"">2018-10-15</font>",●
56,시테,LastOfAkiha,"<font color=""#696969"">Platinum</font>",7551,"<font color=""#000000"">53.11%</font>",996,"<font color=""#000000"">49.85%</font>",3884,KARIN,"<font color=""#CC9933"">aomaDOJO</font>","<font color=""#000000"">2018-10-14</font>","<font color=""#3399FF"">●</font>"
57,라쟌,Razahn,"<font color=""#FFD700"">UltraGold</font>",7422,"<font color=""#000000"">57.69%</font>",657,"<font color=""#000000"">53.46%</font>",5496,BOXER,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
58,윤권,yunkwon,"<font color=""#FFD700"">UltraGold</font>",7210,"<font color=""#000000"">51.83%</font>",1885,"<font color=""#000000"">39.97%</font>",10203,KEN,"<font color=""#CC9933"">Mental_Hospital</font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
59,뉴비식스,Animal6,"<font color=""#FFD700"">UltraGold</font>",6824,"<font color=""#CC2EFA"">74.87%</font>",195,"<font color=""#000000"">38.33%</font>",15359,CHUN-LI,"<font color=""#CC9933"">LOUNGE</font>","<font color=""#000000"">2018-10-17</font>",●
60,신형준,kimboram,"<font color=""#FFD700"">UltraGold</font>",6817,"<font color=""#000000"">58.50%</font>",506,"<font color=""#12B512"">60.53%</font>",869,GUILE,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-09-19</font>","<font color=""#3399FF"">●</font>"
61,제쿠,John-Wick,"<font color=""#FFD700"">SuperGold</font>",6385,"<font color=""#000000"">49.33%</font>",4729,"<font color=""#000000"">48.77%</font>",5155,ZEKU,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>",●
62,아침,Hanna_KR,"<font color=""#FFD700"">SuperGold</font>",6231,"<font color=""#000000"">50.24%</font>",3153,"<font color=""#000000"">45.35%</font>",3863,RYU,"<font color=""#CC9933"">Shin_Syoryuken</font>","<font color=""#000000"">2018-10-14</font>","<font color=""#3399FF"">●</font>"
63,나락가마,son01420309,"<font color=""#FFD700"">SuperGold</font>",5999,"<font color=""#12B512"">60.88%</font>",386,"<font color=""#000000"">53.68%</font>",721,DHALSIM,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
64,기파랑,sfktj-karin,"<font color=""#FFD700"">SuperGold</font>",5959,"<font color=""#000000"">51.24%</font>",964,"<font color=""#000000"">51.12%</font>",3224,KEN,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-09-01</font>",●
65,하야센,hayasen,"<font color=""#FFD700"">SuperGold</font>",5657,"<font color=""#000000"">51.61%</font>",1893,"<font color=""#000000"">45.1%</font>",12586,RYU,"<font color=""#CC9933"">Ryu-Nation</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
66,신스퀘어,Sinsquare,"<font color=""#FFD700"">SuperGold</font>",5592,"<font color=""#000000"">48.95%</font>",5694,"<font color=""#000000"">46.2%</font>",7665,ALEX,"<font color=""#CC9933"">French-fries</font>","<font color=""#000000"">2018-10-17</font>",●
67,앜하밭하,akavata,"<font color=""#FFD700"">SuperGold</font>",5525,"<font color=""#000000"">49.51%</font>",7074,"<font color=""#000000"">41.99%</font>",10335,LAURA,"<font color=""#CC9933"">SPIRITZERO</font>","<font color=""#000000"">2018-10-15</font>",●
68,헐랭이손,dhschenk,"<font color=""#FFD700"">Gold</font>",5387,"<font color=""#000000"">49.71%</font>",3583,"<font color=""#000000"">50.47%</font>",6243,RYU,"<font color=""#CC9933"">Shin_Syoryuken</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
69,우키조아,Justice84,"<font color=""#FFD700"">Gold</font>",5290,"<font color=""#000000"">59.54%</font>",393,"<font color=""#000000"">58.42%</font>",457,GOUKI,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-10</font>",●
70,불곰,NopeinNogein,"<font color=""#FFD700"">Gold</font>",4958,"<font color=""#000000"">52.42%</font>",1177,"<font color=""#000000"">38.9%</font>",2455,GOUKI,"<font color=""#CC9933"">Shin_Syoryuken</font>","<font color=""#000000"">2018-10-15</font>",●
71,갓주홍,GODJUHONG,"<font color=""#FFD700"">Gold</font>",4219,"<font color=""#000000"">51.34%</font>",2536,"<font color=""#000000"">43.86%</font>",4273,RYU,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-11</font>","<font color=""#3399FF"">●</font>"
72,록맨,RockmanHH,"<font color=""#FFD700"">Gold</font>",4060,"<font color=""#000000"">51.13%</font>",2163,"<font color=""#000000"">46.29%</font>",5103,KARIN,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-04</font>",●
73,오렌지페코,pekoshin,"<font color=""#FFD700"">Gold</font>",4058,"<font color=""#000000"">51.27%</font>",1492,"<font color=""#000000"">49.34%</font>",5140,GUILE,"<font color=""#CC9933"">PekoshinDojjo</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
74,,thealto,"<font color=""#FFD700"">Gold</font>",4056,"<font color=""#000000"">49.95%</font>",3858,"<font color=""#000000"">46.34%</font>",4823,CODY,"<font color=""#CC9933"">windog</font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
75,마그마,MagmaAxis,"<font color=""#FFD700"">Gold</font>",4018,"<font color=""#000000"">50.15%</font>",325,"<font color=""#000000"">32.82%</font>",2011,GUILE,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-09-27</font>","<font color=""#3399FF"">●</font>"
76,귀욤,I_am_chobo,"<font color=""#FFD700"">Gold</font>",4003,"<font color=""#CC2EFA"">81.82%</font>",88,"<font color=""#12B512"">64.8%</font>",7603,GUILE,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
77,에레스비,LSBSBLSB,"<font color=""#87CEFA"">UltraSilver</font>",3627,"<font color=""#000000"">52.34%</font>",1024,"<font color=""#000000"">49.67%</font>",1228,IBUKI,"<font color=""#CC9933"">Mental_Hospital</font>","<font color=""#000000"">2018-10-16</font>",●
78,망고,Xiller,"<font color=""#87CEFA"">SuperSilver</font>",3439,"<font color=""#000000"">51.56%</font>",576,"<font color=""#000000"">46.53%</font>",821,R.MIKA,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-07</font>",●
79,옴니버스,0mnibus,"<font color=""#87CEFA"">SuperSilver</font>",3296,"<font color=""#12B512"">63.80%</font>",163,"<font color=""#000000"">57.95%</font>",459,KARIN,"<font color=""#CC9933"">SPIRITZERO</font>","<font color=""#000000"">2018-10-17</font>",●
80,도미,ImDomi,"<font color=""#87CEFA"">SuperSilver</font>",3146,"<font color=""#000000"">52.30%</font>",1522,"<font color=""#000000"">50.13%</font>",1907,GOUKI,"<font color=""#CC9933"">Married-MAN-CLUB</font>","<font color=""#000000"">2018-10-16</font>",●
81,엘렌가든,ellengarden,"<font color=""#87CEFA"">SuperSilver</font>",3054,"<font color=""#000000"">52.89%</font>",554,"<font color=""#000000"">44.39%</font>",847,IBUKI,"<font color=""#CC9933"">SilverTown</font>","<font color=""#000000"">2018-10-13</font>","<font color=""#3399FF"">●</font>"
82,,insanity_player,"<font color=""#87CEFA"">SuperSilver</font>",3023,"<font color=""#000000"">51.30%</font>",846,"<font color=""#000000"">46.99%</font>",2296,DICTATOR,"<font color=""#CC9933"">LOUNGE</font>","<font color=""#000000"">2018-10-17</font>",●
83,노드,Hand_of_Nod,"<font color=""#87CEFA"">SuperSilver</font>",3005,"<font color=""#000000"">51.98%</font>",479,"<font color=""#000000"">41.45%</font>",1568,URIEN,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>",●
84,,NaKwang,"<font color=""#87CEFA"">SuperSilver</font>",3004,"<font color=""#000000"">48.71%</font>",349,"<font color=""#000000"">43.74%</font>",4748,ABIGAIL,"<font color=""#CC9933"">MalpAnga</font>","<font color=""#000000"">2018-10-17</font>",●
85,쿠마,lee30111,"<font color=""#87CEFA"">Silver</font>",2994,"<font color=""#000000"">56.36%</font>",330,"<font color=""#000000"">52.72%</font>",2039,ZANGIEF,"<font color=""#CC9933"">Red_Pants</font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
86,란테르트,Rantert_choo,"<font color=""#87CEFA"">Silver</font>",2686,"<font color=""#000000"">49.19%</font>",807,"<font color=""#000000"">48.21%</font>",2964,BOXER,"<font color=""#CC9933"">LOUNGE</font>","<font color=""#000000"">2018-10-17</font>",●
87,햄순,MARUNARAE,"<font color=""#87CEFA"">Silver</font>",2475,"<font color=""#000000"">47.42%</font>",757,"<font color=""#000000"">37.61%</font>",1848,JURI,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>",●
88,쿠밤밤,kubambam,"<font color=""#87CEFA"">Silver</font>",2472,"<font color=""#000000"">54.96%</font>",282,"<font color=""#000000"">44.82%</font>",839,KARIN,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-08-12</font>","<font color=""#3399FF"">●</font>"
89,골든망고,GOLDENMANGGO,"<font color=""#87CEFA"">Silver</font>",2306,"<font color=""#000000"">40.07%</font>",2149,"<font color=""#000000"">35.73%</font>",2852,NECALLI,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
90,스린이1,ryurisa,"<font color=""#87CEFA"">Silver</font>",2277,"<font color=""#000000"">54.19%</font>",310,"<font color=""#000000"">53.85%</font>",312,KARIN,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-15</font>","<font color=""#3399FF"">●</font>"
91,아하이,AHIIII,"<font color=""#87CEFA"">Silver</font>",2047,"<font color=""#CC2EFA"">74.60%</font>",63,"<font color=""#000000"">38.47%</font>",707,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
92,오늘은해피,kr_solohappy,"<font color=""#87CEFA"">Silver</font>",2033,"<font color=""#000000"">56.00%</font>",225,"<font color=""#000000"">31.05%</font>",1053,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-12</font>","<font color=""#3399FF"">●</font>"
93,까망,KKAMANG,"<font color=""#B8860B"">UltraBronze</font>",1816,"<font color=""#000000"">45.99%</font>",2072,"<font color=""#000000"">44.83%</font>",2726,JURI,"<font color=""#CC9933"">JuZZinDan</font>","<font color=""#000000"">2018-10-16</font>",●
94,밀피,SQUILLA,"<font color=""#B8860B"">UltraBronze</font>",1561,"<font color=""#000000"">53.76%</font>",452,"<font color=""#000000"">43.38%</font>",1344,RYU,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-12</font>",●
95,,realvocalist,"<font color=""#B8860B"">UltraBronze</font>",1521,"<font color=""#CC2EFA"">87.50%</font>",32,"<font color=""#0000FF"">65.61%</font>",189,RASHID,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-04-15</font>","<font color=""#3399FF"">●</font>"
96,반달곰,kimjun,"<font color=""#B8860B"">SuperBronze</font>",1251,"<font color=""#000000"">47.48%</font>",1765,"<font color=""#000000"">44.5%</font>",3148,GOUKI,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
97,,Kanie_SDM,"<font color=""#B8860B"">SuperBronze</font>",1176,"<font color=""#000000"">45.57%</font>",983,"<font color=""#000000"">42.36%</font>",1400,IBUKI,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-09-08</font>",●
98,애미야,Emiyamulzomdao,"<font color=""#B8860B"">SuperBronze</font>",1141,"<font color=""#000000"">36.42%</font>",173,"<font color=""#000000"">30.1%</font>",937,IBUKI,"<font color=""#CC9933"">Girl_character</font>","<font color=""#000000"">2018-10-17</font>",●
99,유백,youbaek,"<font color=""#B8860B"">SuperBronze</font>",1050,"<font color=""#000000"">51.19%</font>",84,"<font color=""#000000"">37.57%</font>",535,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-09-30</font>","<font color=""#3399FF"">●</font>"
100,발닦고자라,Balttako_Zara,"<font color=""#B8860B"">Bronze</font>",901,"<font color=""#000000"">34.29%</font>",210,"<font color=""#000000"">36.68%</font>",379,IBUKI,"<font color=""#CC9933""></font>","<font color=""#FF0000"">2018-09-14</font>",●
101,키스,kissmylip,"<font color=""#B8860B"">Bronze</font>",718,"<font color=""#000000"">34.36%</font>",163,"<font color=""#000000"">35.28%</font>",958,GOUKI,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
102,쌍환타,5Highnoon,"<font color=""#B8860B"">Bronze</font>",600,"<font color=""#000000"">45.24%</font>",42,"<font color=""#000000"">35.85%</font>",53,BIRDIE,"<font color=""#CC9933"">Shin_Syoryuken</font>","<font color=""#000000"">2018-10-05</font>","<font color=""#3399FF"">●</font>"
